file,bars_ext,bars_int,match_rate,head3_ext,head3_int
001-v1.stage2.json,0,119,0.0000,,F#:maj|C#:dom7|G#:maj
001-v2.stage2.json,0,139,0.0000,,B:maj|G#:min7|A#:min7
001-v3.stage2.json,0,128,0.0000,,F#:maj|G#:maj|A#:min
002-v1.stage2.json,0,110,0.0000,,B:maj|D#:min|C#:maj
002-v2.stage2.json,0,114,0.0000,,F#:maj|D#:min|C#:maj
002-v3.stage2.json,0,114,0.0000,,F#:maj|D#:min|C#:maj
008-v1.stage2.json,0,127,0.0000,,D#:maj|A#:maj|G#:maj7
008-v2.stage2.json,0,130,0.0000,,D#:maj|A#:maj|G#:maj7
008-v3.stage2.json,0,130,0.0000,,D#:maj|A#:maj|G#:maj7
011-v1.stage2.json,0,166,0.0000,,D#:maj|C:min|C:maj
011-v2.stage2.json,0,164,0.0000,,D#:maj|C:min|C:maj
011-v3.stage2.json,0,164,0.0000,,D#:maj|C:min|C:maj
012-v1.stage2.json,0,124,0.0000,,D#:maj|G:min|A#:maj
012-v2.stage2.json,0,122,0.0000,,D#:maj|C:min7|A#:maj
012-v3.stage2.json,0,124,0.0000,,D#:maj|G:min|A#:maj
013-v1.stage2.json,0,105,0.0000,,E:maj|E:min7|D:maj
013-v2.stage2.json,0,105,0.0000,,E:maj|E:min7|D:maj
013-v3.stage2.json,0,105,0.0000,,E:maj|E:min7|D:maj
014-v1.stage2.json,0,317,0.0000,,C:min|G:maj|D#:maj
014-v2.stage2.json,0,319,0.0000,,C:min|G:maj|D#:maj
014-v3.stage2.json,0,294,0.0000,,C:min|G:maj|A#:maj
015-v1.stage2.json,0,116,0.0000,,C:maj|G:maj|D:maj
015-v2.stage2.json,0,116,0.0000,,C:maj|G:maj|D:maj
015-v3.stage2.json,0,116,0.0000,,C:maj|G:maj|D:maj
016-v1.stage2.json,0,142,0.0000,,F:maj|G:min|A:maj
016-v2.stage2.json,0,142,0.0000,,F:maj|G:min|A:maj
016-v3.stage2.json,0,143,0.0000,,F:maj|G:min|A:maj
017-v1.stage2.json,0,109,0.0000,,C#:maj|F#:min|A:maj
017-v2.stage2.json,0,109,0.0000,,C#:maj|F#:min|A:maj
017-v3.stage2.json,0,109,0.0000,,C#:maj|F#:min|A:maj
018-v1.stage2.json,0,102,0.0000,,C#:maj|F#:min|A:maj
018-v2.stage2.json,0,102,0.0000,,C#:maj|F#:min|A:maj
018-v3.stage2.json,0,103,0.0000,,C#:maj|F#:min|A:maj
019-v1.stage2.json,0,105,0.0000,,D:maj|A:maj|G:maj7
019-v2.stage2.json,0,105,0.0000,,D:maj|A:maj|G:maj7
